UHV Power Transmission Line,UHV Transmission Line in Chinese,Other name,Status,Commissioned Year,Capacity (MW),Technology,Transmission Distance（km）,circuit,Investment (Billion RMB),Permitted Date,Ultimate Parent,Start_Region,End_Region,Start_Admin2,End_Admin2
Anhui South- Zhejiang North- Shanghai,皖电东送淮南-浙北-上海特高压交流输电示范工程,皖电东送,operating,2013,10500.0,1000 kV Ultra-AC,648.7,2.0,18.5,2012-09,State Grid,Anhui,Shanghai,Huainan,Shanghai
Southeastern Shanxi - Nanyang - Jingmen,晋东南--南阳--荆门1000千瓦特高压交流实验示范工程,,operating,2008,5000.0,1000 kV Ultra-AC,645.0,,5.887,2006-8,State Grid,Shanxi,Hubei,Changzhi,Jingmen
Xiangjiaba-Shanghai,向家坝-上海±800千伏特高压直流输电示范工程,复奉直流,operating,2010,6400.0,±800 kV Ultra-DC,1907.0,,23.274,26/04/2007,State Grid,Sichuan,Shanghai,Yibin,Shanghai
Jinping-Jiangsu South,锦屏-苏南 ±800千伏特高压直流输电工程,锦苏直流,operating,2012,7200.0,±800 kV Ultra-DC,2059.0,,22.0,2008-11,State Grid,Sichuan,Jiangsu,Liangshan Yi,Suzhou
Xiluodu-Zhejiang,溪洛渡-浙江±800千伏特高压直流输电工程,"宾金直流, 溪浙工程",operating,2014,8000.0,±800 kV Ultra-DC,1680.0,,23.855,2012-07,State Grid,Sichuan,Zhejiang,Yibin,Jinhua
Hami South -- Zhengzhou,哈密南--郑州±800千伏特高压直流输电工程,天中直流，哈郑直流，疆电外送第三通道,operating,2014,8000.0,±800 kV Ultra-DC,2210.0,,23.4,2012-5,State Grid,Xinjiang,Henan,Hami,Zhengzhou
Yunnan-Guangdong,云南楚雄-广东惠东（云广±800千伏特高压直流输电工程）,楚穗直流，云广直流,operating,2010,5000.0,±800 kV Ultra-DC,1373.0,,13.2,2006,China Southern Power Grid,Yunnan,Guangdong,Chuxiong Yi,Huizhou
Nuozhadu-Guangdong,糯扎渡送电广东±800kV直流输电工程（云南普洱-广东江门）,普侨直流,operating,2013,5000.0,±800 kV Ultra-DC,1413.0,,13.3,2011-10,China Southern Power Grid,Yunnan,Guangdong,Pu'er,Jiangmen
Zhejiang North-Zhejiang Middle-Zhejiang South-Fuzhou,浙北-福州1000千伏特高压交流输变电工程,浙福特高压,operating,2014,6800.0,1000 kV Ultra-AC,603.0,2.0,18.87,2013-03,State Grid,Zhejiang,Fujian,Huzhou,Fuzhou
Anhui South- Nanjing- Shanghai,皖电东送淮南-南京-上海1000千伏特高压交流输变电项目,皖电东送,operating,2019,6000.0,1000 kV Ultra-AC,779.5,2.0,26.1,21/04/2014,State Grid,Anhui,Shanghai,Huainan,Shanghai
Jiuquan- Hunan,酒泉-- 湖南+-800千伏特高压直流输电工程 (陇电入湘),祁韶直流，酒湖工程,operating,2017,8000.0,±800 kV Ultra-DC,2383.0,,26.2,18/05/2015,State Grid,Gansu,Hunan,Jiuquan,Xiangtan
Xiong'an-Shijiazhuang,雄安-石家庄1000千伏特高压交流工程 （北京西-石家庄交流特高压输变电工程）,,operating,2019,,1000 kV Ultra-AC,228.0,2.0,3.5,2017-07,State Grid,Hebei,Hebei,Baoding,Shijiazhuang
Xilingol-Shengli,锡盟-胜利特高压交流输电工程,,operating,2017,3000.0,1000 kV Ultra-AC,240.0,2.0,4.956,2016-01,State Grid,Inner Mongolia,Inner Mongolia,Xilin Gol,Xilin Gol
Xilingol- Jiangsu,锡盟-泰州±800千伏特高压直流工程,锡泰直流,operating,2017,10000.0,±800 kV Ultra-DC,1619.0,,26.4,30/10/2015,State Grid,Inner Mongolia,Jiangsu,Xilin Gol,Taizhou
Xilingol- Shandong,锡盟--山东1000千伏特高压交流输变电工程,,operating,2016,9000.0,1000 kV Ultra-AC,730.0,2.0,17.8,12/07/2014,State Grid,Inner Mongolia,Shandong,Xilin Gol,Jinan
Western Mongolia- Tianjin,蒙西-天津南1000千伏特高压交流输变电工程,,operating,2019,6000.0,1000 kV Ultra-AC,608.0,2.0,17.5,2015-1,State Grid,Inner Mongolia,Tianjin,Ordos,Tianjin
Shanghai Temple- Shandong,上海庙--山东临沂±800千伏特高压直流输电工程,昭沂直流,operating,2019,10000.0,±800 kV Ultra-DC,1238.0,,22.1,2015-12,State Grid,Inner Mongolia,Shandong,Ordos,Linyi
Jarud- Shandong Qingzhou,扎鲁特--山东青州±800千伏特高压直流输电工程（鲁固直流项目）,鲁固直流,operating,2017,10000.0,±800 kV Ultra-DC,1234.0,,22.1,2016-8,State Grid,Inner Mongolia,Shandong,Tongliao,Weifang
Eastern Ningxia- Zhejiang,宁东-浙江±800千伏特高压直流输电工程 (灵州-绍兴±800千伏特高压直流输电工程),灵绍直流,operating,2016,8000.0,±800 kV Ultra-DC,1720.0,,23.7,05/08/2014,State Grid,Ningxia,Zhejiang,Yinchuan,Shaoxing
Yuheng- Weifang,榆横--潍坊1000千伏特高压交流输变电工程,,operating,2017,6000.0,1000 kV Ultra-AC,1049.0,2.0,24.2,2015-5,State Grid,Shaanxi,Shandong,Yulin,Weifang
Northern Shanxi- Nanjing,晋北--江苏±800千伏特高压直流输电工程 （雁门关-淮安特高压直流输电工程）,雁淮直流,operating,2017,8000.0,±800 kV Ultra-DC,1119.0,,16.2,10/06/2015,State Grid,Shanxi,Jiangsu,Shuozhou,Nanjing
Zhundong - Southern Anhui,准东--皖南+-1100千伏特高压直流输电工程,吉泉直流，疆电外送第四通道,operating,2019,12000.0,1100 kV Ultra-DC,3324.0,,40.7,28/12/2015,State Grid,Xinjiang,Anhui,Changji Hui,Xuancheng
Yunnan Northwest-Guangdong,滇西北—广东±800千伏直流输电工程（丽江—深圳±800千伏特高压直流线路）,新东直流,operating,2018,5000.0,±800 kV Ultra-DC,1953.0,,17.0,28/12/2015,China Southern Power Grid,Yunnan,Guangdong,Dali Bai,Shenzhen
uzhou-Xiamen,福州-厦门1000千伏特高压交流输电工程,,operating,2023,,1000 kV Ultra-AC,234.0,2.0,7.1,2022-01,State Grid,Fujian,Fujian,Fuzhou,Xiamen
Gansu East- Shandong,陇东-山东特高压直流工程（陇电入鲁）,陇电入鲁,operating,2024,8000.0,±800 kV Ultra-DC,926.0,,20.2,2023-2,State Grid,Gansu,Shandong,Qingyang,Tai'an
Zhangbei-Shengli,张北-胜利1000千伏特高压输电交流项目,,operating,2024,,1000 kV Ultra-AC,366.0,2.0,6.786,15/09/2022,State Grid,Hebei,Inner Mongolia,Zhangjiakou,Xilin Gol
Zhangbei-Xiong'an,张北-雄安1000千伏特高压交流输变电工程,,operating,2020,6000.0,1000 kV Ultra-AC,319.0,2.0,5.98,2018-11,State Grid,Hebei,Hebei,Zhangjiakou,Baoding
Zhumadian-Nanyang,驻马店-南阳1000千伏特高压交流输电工程,,operating,2020,,1000 kV Ultra-AC,188.4,2.0,2.16,10/12/2018,State Grid,Henan,Henan,Zhumadian,Nanyang
Zhumadian-Wuhan,驻马店-武汉1000千伏特高压交流输电工程,,operating,2023,,1000 kV Ultra-AC,287.0,2.0,3.8,17/11/2021,State Grid,Henan,Hubei,Zhumadian,Wuhan
Nanyang-Jingmen-Changsha,南阳～荆门～长沙1000kV特高压交流输变电工程,,operating,2022,6000.0,1000 kV Ultra-AC,625.8,,,01/04/2021,State Grid,Henan,Hunan,Nanyang,Changsha
Jingmen-Wuhan,荆门—武汉1000千伏特高压交流输变电工程,,operating,2022,,1000 kV Ultra-AC,234.0,,6.5,23/12/2020,State Grid,Hubei,Hubei,Jingmen,Wuhan
Wuhan-Nanchang,武汉至南昌1000千伏特高压交流线路工程,,operating,2023,,1000 kV Ultra-AC,462.9,2.0,9.082,27/06/2022,State Grid,Hubei,Jiangxi,Wuhan,Nanchang
Western Mongolia-Mid Shanxi,蒙西-晋中1000千伏特高压交流工程,,operating,2020,8000.0,1000 kV Ultra-AC,313.0,2.0,5.4,2018-03,State Grid,Inner Mongolia,Shanxi,Ordos,Jinzhong
Nanchang-Changsha,南昌-长沙1000千伏特高压交流输电工程,,operating,2021,,1000 kV Ultra-AC,341.0,2.0,10.2,22/12/2020,State Grid,Jiangxi,Hunan,Nanchang,Changsha
Qinghai-Henan,青海—河南±800千伏特高压直流输电工程 （青豫直流）,青豫直流,operating,2020,8000.0,±800 kV Ultra-DC,1587.0,,22.3,2018-10,State Grid,Qinghai,Henan,Hainan Tibetan,Zhumadian
North of Shaanxi-Hubei Wuhan,陕北-湖北±800千伏特高压直流工程,陕武直流,operating,2021,8000.0,±800 kV Ultra-DC,1137.0,,18.5,01/01/2019,State Grid,Shaanxi,Hubei,Yulin,Wuhan
Weifang-Linyi-Zaozhuang-Heze-Shijiazhuang,潍坊-临沂-枣庄-菏泽-石家庄1000千伏特高压交流工程 （山东-河北特高压交流环网）,,operating,2020,,1000 kV Ultra-AC,816.0,2.0,14.0,31/10/2017,State Grid,Shandong,Hebei,Weifang,Shijiazhuang
Yazhong-Jiangxi,雅中-江西±800千伏特高压直流输电工程,雅湖直流,operating,2021,8000.0,±800 kV Ultra-DC,1696.0,,24.4,2019-08,State Grid,Sichuan,Jiangxi,Liangshan Yi,Fuzhou
Sichuan-Chongqing,川渝1000千伏特高压交流工程,,operating,2024,4000.0,1000 kV Ultra-AC,658.0,2.0,28.6,2022-09,State Grid,Sichuan,Chongqing,Chengdu,Chongqing
Baihetan-Jiangsu,白鹤滩-江苏±800千伏特高压直流输电工程,建苏直流,operating,2022,8000.0,±800 kV Ultra-DC,2087.0,,30.7,2020-11,State Grid,Sichuan,Jiangsu,Liangshan Yi,Suzhou
Baihetan-Zhejiang,白鹤滩—浙江±800千伏特高压直流输电工程,金塘直流,operating,2022,8000.0,±800 kV Ultra-DC,2121.0,,29.9,2021-07,State Grid,Sichuan,Zhejiang,Liangshan Yi,Hangzhou
Wudongde-Guangxi-Guangdong,乌东德电站送电广东广西特高压多端柔性直流示范工程 （昆柳龙柔性直流工程）,昆柳龙直流,operating,2020,8000.0,±800 kV Ultra-DC,1452.0,,24.3,2018-03,China Southern Power Grid,Yunnan,Guangdong,Kunming,Huizhou
ansu-Zhejiang,甘肃－浙江±800千伏特高压直流输电工程（陇电入浙）,陇电入浙,construction,,8000.0,±800 kV Ultra-DC,2370.0,,35.3,2024-7,State Grid Corperation of China,Gansu,Zhejiang,Wuwei,Shaoxing
Badan Jilin-Sichuan (Gansu-Sichuan),巴丹吉林-四川±800千伏特高压直流线路工程(陇电入川),陇电入川,proposed,,8000.0,±800 kV Ultra-DC,,,,,State Grid Corperation of China,Gansu,Sichuan,Jiuquan,Chengdu
"Western Mongolia-Beijing, Tianjin, Hebei",蒙西-京津冀（库布齐-雄安）±800kV特高压直流输电线路工程,（库布其北—沧州±800kV 特高压直流输电工程）,proposed,,8000.0,±800 kV Ultra-DC,699.7,,,,State Grid Corperation of China,Inner Mongolia,Hebei,Ordos,Cangzhou
Ningxia-Hunan,宁夏-湖南±800千伏直流特高压外送工程,,operating,2022,8000.0,±800 kV Ultra-DC,1634.0,,28.1,24/05/2023,State Grid Corperation of China,Ningxia,Hunan,Zhongwei,Hengyang
Shaanxi-Anhui,陕西-安徽±800千伏特高压直流输电工程,,construction,,8000.0,±800 kV Ultra-DC,1070.0,,20.5,22/02/2024,State Grid Corperation of China,Shaanxi,Anhui,Yan'an,Hefei
Datong-Huailai-Tianjin South,大同-怀来-天津南特高压交流工程,,construction,2024,,1000 kV Ultra-AC,771.9,2.0,22.5,2024-09,State Grid Corperation of China,Shanxi,Tianjin,Datong,Tianjin
Jinshang-Hubei,金上-湖北±800千伏特高压直流输电工程,金湖特高压,operating,2022,8000.0,±800 kV Ultra-DC,1784.0,,33.5,2022,State Grid Corperation of China,Sichuan,Hubei,Garzê Tibetan,Huangshi
"Tibet Southeast-Guangdong, Hong Kong, Macao",藏东南-粤港澳大湾区±800千伏特高压直流输电工,藏玉直流,proposed,,,±800 kV Ultra-DC,,,54.9,,"China Southern Power Grid 51%, State Grid 49%",Tibet,Guangdong,Nyingtri,Dongguan
Hami North-Chongqing,哈密—重庆±800千伏特高压直流输电工程,哈重特高压，“疆电外送”第三条直流通道,operating,2022,8000.0,±800 kV Ultra-DC,2290.0,,28.1,2023-07,State Grid Corperation of China,Xinjiang,Chongqing,Hami,Chongqing
